Feature Name,Description,Data Type,Input Type,Answer Options
oneDrop_metabolomics_Apolipoprotein.B,Apolipoprotein B,numerical,Enter integer answer,
oneDrop_metabolomics_Apolipoprotein.A1,Apolipoprotein A1,numerical,Enter integer answer,
oneDrop_metabolomics_Alanine,Alanine,numerical,Enter integer answer,
oneDrop_metabolomics_Glutamine,Glutamine,numerical,Enter integer answer,
oneDrop_metabolomics_Glycine,Glycine,numerical,Enter integer answer,
oneDrop_metabolomics_Histidine,Histidine,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Concentration.of.Branched-Chain.Amino.Acids.(Leucine.+.Isoleucine.+.Valine),Total Concentration of Branched-Chain Amino Acids Leucine plus Isoleucine plus Valine,numerical,Enter integer answer,
oneDrop_metabolomics_Isoleucine,Isoleucine,numerical,Enter integer answer,
oneDrop_metabolomics_Leucine,Leucine,numerical,Enter integer answer,
oneDrop_metabolomics_Valine,Valine,numerical,Enter integer answer,
oneDrop_metabolomics_Phenylalanine,Phenylalanine,numerical,Enter integer answer,
oneDrop_metabolomics_Tyrosine,Tyrosine,numerical,Enter integer answer,
oneDrop_metabolomics_Average.Diameter.for.VLDL.Particles,Average Diameter for VLDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Average.Diameter.for.LDL.Particles,Average Diameter for LDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Average.Diameter.for.HDL.Particles,Average Diameter for HDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Concentration.of.Lipoprotein.Particles,Total Concentration of Lipoprotein Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.VLDL.Particles,Concentration of VLDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.LDL.Particles,Concentration of LDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.HDL.Particles,Concentration of HDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Chylomicrons.and.Extremely.Large.VLDL.Particles,Concentration of Chylomicrons and Extremely Large VLDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Very.Large.VLDL.Particles,Concentration of Very Large VLDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Large.VLDL.Particles,Concentration of Large VLDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Medium.VLDL.Particles,Concentration of Medium VLDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Small.VLDL.Particles,Concentration of Small VLDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Very.Small.VLDL.Particles,Concentration of Very Small VLDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.IDL.Particles,Concentration of IDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Large.LDL.Particles,Concentration of Large LDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Medium.LDL.Particles,Concentration of Medium LDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Small.LDL.Particles,Concentration of Small LDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Very.Large.HDL.Particles,Concentration of Very Large HDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Large.HDL.Particles,Concentration of Large HDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Medium.HDL.Particles,Concentration of Medium HDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Concentration.of.Small.HDL.Particles,Concentration of Small HDL Particles,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Cholesterol,Total Cholesterol,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Cholesterol.Minus.HDL-C,Total Cholesterol Minus HDL-C,numerical,Enter integer answer,
"oneDrop_metabolomics_Remnant.Cholesterol.(Non-HDL,.Non-LDL.-Cholesterol)","Remnant Cholesterol Non-HDL, Non-LDL -Cholesterol",numerical,Enter integer answer,
oneDrop_metabolomics_VLDL.Cholesterol,VLDL Cholesterol,numerical,Enter integer answer,
oneDrop_metabolomics_Clinical.LDL.Cholesterol,Clinical LDL Cholesterol,numerical,Enter integer answer,
oneDrop_metabolomics_LDL.Cholesterol,LDL Cholesterol,numerical,Enter integer answer,
oneDrop_metabolomics_HDL.Cholesterol,HDL Cholesterol,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Chylomicrons.and.Extremely.Large.VLDL,Cholesterol in Chylomicrons and Extremely Large VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Very.Large.VLDL,Cholesterol in Very Large VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Large.VLDL,Cholesterol in Large VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Medium.VLDL,Cholesterol in Medium VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Small.VLDL,Cholesterol in Small VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Very.Small.VLDL,Cholesterol in Very Small VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.IDL,Cholesterol in IDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Large.LDL,Cholesterol in Large LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Medium.LDL,Cholesterol in Medium LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Small.LDL,Cholesterol in Small LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Very.Large.HDL,Cholesterol in Very Large HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Large.HDL,Cholesterol in Large HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Medium.HDL,Cholesterol in Medium HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesterol.in.Small.HDL,Cholesterol in Small HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Esterified.Cholesterol,Total Esterified Cholesterol,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.VLDL,Cholesteryl Esters in VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.LDL,Cholesteryl Esters in LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.HDL,Cholesteryl Esters in HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Chylomicrons.and.Extremely.Large.VLDL,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,numerical,Enter integer answer,
